,doc1_1,word1,doc1_2,word2,bidirectional_hash
9195,1746,50,1746,97,8899840257
3508,670,50,670,97,8899840257
2987,571,532,571,389,51521914515381
6461,1229,532,1229,389,51521914515381
9500,1804,532,1804,389,51521914515381
5634,1076,571,1076,340,65242403331851
6167,1172,571,1172,340,65242403331851
5447,1042,561,1042,699,222439586802300
3235,617,561,617,699,222439586802300
8174,1552,743,1552,293,228594691996636
9307,1766,743,1766,293,228594691996636
3349,638,581,638,795,383770658583776
4752,906,581,906,795,383770658583776
6713,1276,653,1276,970,977465512538493
3080,588,653,588,970,977465512538493
277,54,1108,54,627,1766835165232675
3610,687,1108,687,627,1766835165232675
1993,383,1086,383,779,1797470191790075
7451,1417,1086,1417,779,1797470191790075
3249,620,923,620,1046,1922053681663819
9039,1716,923,1716,1046,1922053681663819
8815,1676,1211,1676,812,2957482556799883
4004,764,1211,764,812,2957482556799883
3756,712,1229,712,700,2971949945797149
3757,712,700,712,1229,2971949945797149
9936,1887,1266,1887,336,3256417213438752
5542,1059,1266,1059,336,3256417213438752
9875,1876,1108,1876,1292,5270015511552000
6878,1308,1108,1308,1292,5270015511552000
3752,711,1511,711,808,8220696280685319
1449,277,808,277,1511,8220696280685319
697,131,1511,131,808,8220696280685319
9494,1803,256,1803,1588,10099497680466944
2983,571,256,571,1588,10099497680466944
2128,407,175,407,1609,10784172605806424
5098,975,175,975,1609,10784172605806424
4050,772,1108,772,1629,13141041454919917
6673,1269,1108,1269,1629,13141041454919917
5898,1126,1108,1126,1629,13141041454919917
7062,1343,1730,1343,430,15511090053600000
727,138,1730,138,430,15511090053600000
2553,486,1642,486,1310,15794140082159232
5429,1038,1642,1038,1310,15794140082159232
778,147,335,147,1738,15862235464650543
7691,1460,335,1460,1738,15862235464650543
9761,1854,1741,1854,795,16312921184221576
9560,1815,1741,1815,795,16312921184221576
2310,442,1774,442,551,17620638594030375
6516,1238,1774,1238,551,17620638594030375
2369,453,20,453,1795,18634693958821875
1910,366,20,366,1795,18634693958821875
7179,1366,20,1366,1795,18634693958821875
9814,1864,1795,1864,173,18634848919513968
8086,1536,1795,1536,173,18634848919513968
2490,475,1795,475,173,18634848919513968
6291,1197,1795,1197,173,18634848919513968
8905,1692,74,1692,1802,19000891758350656
7921,1504,74,1504,1802,19000891758350656
6256,1190,1800,1190,812,19248684422392832
3244,619,1800,619,812,19248684422392832
8296,1574,1795,1574,1496,26127732517540851
1303,250,1795,250,1496,26127732517540851
3335,636,1108,636,1954,30155363186357792
6314,1201,1108,1201,1954,30155363186357792
2730,523,1042,523,1983,31891320882961375
7409,1411,1042,1411,1983,31891320882961375
6156,1170,2059,1170,691,37164356829338750
5663,1081,2059,1081,691,37164356829338750
2423,462,91,462,2098,40646905327689419
1111,213,91,213,2098,40646905327689419
6064,1154,2098,1154,384,40655248503791392
4423,842,384,842,2098,40655248503791392
6455,1227,470,1227,2098,40669833588067968
4506,857,2098,857,470,40669833588067968
4756,907,470,907,2098,40669833588067968
